SETID,SPL_VERSION,RXCUI,RXSTRING,RXTTY
001cf46a-ab2f-4f82-a015-175d7c9e7ef3,100,197634,droNABinol 10 MG Oral Capsule,PSN
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,889656,"Sus scrofa skin extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,894778,"Anas platyrhynchos feather extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,894928,"Anser anser feather extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,894958,"Gallus gallus feather extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895050,"Canis lupus familiaris epithelia extract 20,000 UNT/ML Injectable",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895069,"Mesocricetus auratus epithelia extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895079,"Meriones unguiculatus epithelia extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895193,"Mus musculus epithelia extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895277,European rabbit skin extract 20000 UNT/ML Injectable Solution,SCD
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895288,"Rattus norvegicus epithelia extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895298,"Bos taurus epithelia extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895308,"Capra hircus epithelia extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895470,"Equus caballus epithelia extract 20,000 UNT/ML Injectable Solution",SY
001dcaf3-5838-4fb0-a4b8-d65ae2eb009e,1,895480,"Cavia porcellus epithelia extract 20,000 UNT/ML Injectable Solution",SY
001dd372-2692-4d6f-a71c-95e7056349a9,3,854868,RABEprazole sodium 20 MG Delayed Release Oral Tablet,PSN
001dd372-2692-4d6f-a71c-95e7056349a9,3,854870,AcipHex 20 MG Delayed Release Oral Tablet,PSN
001e3b1c-b7c1-44aa-b812-e78dbf4f3069,2,1437702,albuterol 0.833 MG/ML / ipratropium bromide 0.167 MG/ML Inhalation Solution,SCD
001e72ea-2c9e-468c-90cc-6c347234e2a9,9,313979,fludrocortisone acetate 0.1 MG Oral Tablet,PSN
00203a7b-e774-45f7-ac6b-48db6d32a48a,13,809974,20 ML lacosamide 10 MG/ML Injection,SCD
002052df-83ac-4efd-926c-b60a8f64cec4,1,849574,naproxen sodium 220 MG (as naproxen 200 MG) Oral Tablet,SY
00214c45-8453-49f5-b3e9-c3602fe96e20,2,413261,chloroxylenol 0.3 % Medicated Liquid Soap,PSN
0021e7c1-8409-4efa-90d4-1146bb1aa9ba,1,1855722,benzalkonium chloride 0.7 % Medicated Liquid Soap,PSN
00225c5d-6e8e-40e9-a64c-eab18ec504f9,1,244642,dimethicone 2 % Topical Cream,PSN
0022a174-8377-44af-84a9-31adb27de131,3,702050,carbamide peroxide 6.5 % Otic Solution,PSN
0022ca14-9177-4fe9-90f3-1d67592d8d6c,1,402014,omeprazole 20 MG (as omeprazole magnesium 20.6 MG) Delayed Release Oral Tablet,SY
002453e8-0d4b-4e81-ba0e-046447ac2ba8,1,581662,ethanol 0.7 ML/ML Topical Gel,SCD
0026d74b-7a6b-66ce-e063-6294a90a0ffa,1,1487074,diclofenac sodium 2 % Topical Solution,PSN
00270f4b-53e4-482b-9f99-aee57ace7831,5,317110,24 HR isosorbide mononitrate 30 MG Extended Release Oral Tablet,SCD
0027b8a3-73bf-4005-a7e3-b035f451a861,1,310672,haloperidol 5 MG Oral Tablet,PSN
0027d6f9-4490-4c72-a006-dcbe5bd98990,104,1094104,phenazopyridine HCl 200 MG Oral Tablet,PSN
00283894-ddc6-0faa-e063-6394a90ae47c,2,245660,ZNO 150 MG/ML Topical Cream,SY
002875d2-8c30-2d2e-e063-6294a90ae01e,7,310273,famotidine 20 MG Oral Tablet,PSN
0028be18-5162-ff51-e063-6294a90ae517,2,1250189,menthol 7.5 MG Oral Lozenge,PSN
0029ecd1-a700-46a5-a5f9-c416fb2bb4f0,3,797544,isopropyl alcohol 0.7 ML/ML Medicated Pad,SCD
0029ecd1-a700-46a5-a5f9-c416fb2bb4f0,3,1010844,5 ML lidocaine hydrochloride 40 MG/ML Injection,SCD
0029ecd1-a700-46a5-a5f9-c416fb2bb4f0,3,1012404,BUPivacaine HCl 0.5 % Injectable Solution,PSN
0029ecd1-a700-46a5-a5f9-c416fb2bb4f0,3,1012406,Marcaine 0.5 % Injectable Solution,PSN
002af62f-0e47-4976-82da-b61e89989983,1,417994,ZNO 120 MG/ML Topical Cream,SY
002affb4-0499-4c16-bd7f-cff06e9d4e8b,2,1049254,benzalkonium chloride 0.13 % Topical Solution,PSN
002b4031-5869-4c0f-9be3-5d289746cefc,3,311372,loratadine 10 MG 24 HR Oral Tablet,SY
002d4c7e-b94e-49b6-8554-0aa0c60d5bde,1,1099681,VPA 250 MG Oral Capsule,SY
002da62b-aec6-8e2a-e063-6294a90a5efc,2,1052943,tetrahydrozoline HCl 0.05 % Ophthalmic Solution,PSN
002dd00f-7946-ea4f-e063-6294a90a5916,1,312076,OLANZapine 10 MG Disintegrating Oral Tablet,PSN
002dd00f-7946-ea4f-e063-6294a90a5916,1,314155,OLANZapine 5 MG Disintegrating Oral Tablet,PSN
002dd00f-7946-ea4f-e063-6294a90a5916,1,351107,OLANZapine 15 MG Disintegrating Oral Tablet,PSN
002dd00f-7946-ea4f-e063-6294a90a5916,1,351108,OLANZapine 20 MG Disintegrating Oral Tablet,PSN
002f956d-4e1b-451f-b833-1509dc3bd057,1,1798297,chlorhexidine gluconate 2 % / ketoconazole 1 % Medicated Pad,PSN
002f9748-b0e8-4b6e-a38b-56930a839491,5,2706351,30 ML eculizumab-aeeb 10 MG/ML Injection,SCD
002f9748-b0e8-4b6e-a38b-56930a839491,5,2706358,30 ML eculizumab-aeeb 10 MG/ML Injection [Bkemv],SBD
00307f42-748d-4227-8c6f-ed5f0a89ae0a,11,1790310,nitisinone 4 MG in 1 mL Oral Suspension,PSN
00307f42-748d-4227-8c6f-ed5f0a89ae0a,11,1790317,Orfadin 4 MG in 1 mL Oral Suspension,PSN
003161f8-aed4-4d04-b6a3-6afc56e2817a,1,1305100,ethanol 0.75 ML/ML Topical Gel,SCD
003181d4-5412-4ffe-b99d-880f2010e3ad,6,1365980,ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / sodium fluoride 0.55 MG/ML / vitamin A palmitate 1500 UNT/ML Oral Solution,SCD
00327696-c496-4c83-a63e-9e29fd6246d4,22,198052,ondansetron 4 MG (as ondansetron HCl dihydrate 5 MG) Oral Tablet,SY
003307c5-3f73-4a5d-a704-bfdea3c656e8,5,248656,azithromycin 500 MG (as azithromycin monohydrate) Oral Tablet,SY
00332c65-edad-a153-9c78-628931daa732,35,1099563,24 HR divalproex sodium 250 MG Extended Release Oral Tablet,SCD
00332c65-edad-a153-9c78-628931daa732,35,1099569,24 HR divalproex sodium 500 MG Extended Release Oral Tablet,SCD
0034a97a-fb05-418a-a234-de278907cd2a,4,104884,metoclopramide (as the monohydrochloride monohydrate) 5 MG per 5 ML Oral Solution,SY
00350fc0-b8db-47e5-8164-0ab539e1c642,1,1487371,salicylic acid 28.5 % Topical Solution,PSN
0035a4fd-8dd5-4534-a1b5-f510d637f721,3,1148399,8 HR APAP 650 MG Extended Release Oral Tablet,SY
0035e6a4-b3ef-4e0b-aa7f-7453dd065f4d,1,1049906,diphenhydrAMINE HCl 12.5 MG in 5 mL Oral Solution,PSN
003663e5-c0c7-4fc1-a64d-313f2a5b10d2,40,103968,lamoTRIgine 100 MG Disintegrating Oral Tablet,PSN
003663e5-c0c7-4fc1-a64d-313f2a5b10d2,40,198430,lamoTRIgine 25 MG Disintegrating Oral Tablet,PSN
003663e5-c0c7-4fc1-a64d-313f2a5b10d2,40,252478,lamoTRIgine 50 MG Disintegrating Oral Tablet,PSN
003663e5-c0c7-4fc1-a64d-313f2a5b10d2,40,252479,lamoTRIgine 200 MG Disintegrating Oral Tablet,PSN
003663e5-c0c7-4fc1-a64d-313f2a5b10d2,40,851748,"lamoTRIgine 25 MG (21), 50 MG (7) Disintegrating Oral Tablet 28 Count Pack",PSN
003663e5-c0c7-4fc1-a64d-313f2a5b10d2,40,851750,"lamoTRIgine 25 MG (14), 50 MG (14), 100 MG (7) Disintegrating Oral Tablet 35 Count Pack",PSN
003663e5-c0c7-4fc1-a64d-313f2a5b10d2,40,851752,"lamoTRIgine 50 MG (42), 100 MG (14) Disintegrating Oral Tablet 56 Count Pack",PSN
0037a1a4-d747-2567-e063-6394a90a721c,2,1012100,benzalkonium chloride 0.13 % / lidocaine HCl 0.5 % Topical Cream,PSN
0038f081-a867-43ed-8415-9f0003871291,1,828320,cyclobenzaprine HCl 5 MG Oral Tablet,PSN
00396546-6a80-4b9f-a5f8-c22c1d1bb173,2,309311,CISplatin 1 MG/ML Injectable Solution,PSN
003986de-ee58-4ecf-a850-73505967a976,6,308416,ASA 81 MG Delayed Release Oral Tablet,SY
0039e4f8-3fdd-6269-e063-6294a90a92eb,2,857002,APAP 325 MG / hydrocodone bitartrate 5 MG Oral Tablet,SY
0039fee5-35a8-429b-a1cf-7b4bf1f8a6e7,7,1536993,ASA 500 MG / Chlorpheniramine Maleate 2 MG / Phenylephrine bitartrate 8 MG Effervescent Oral Tablet,SY
003a229c-b014-e9f3-e063-6294a90aa5ed,2,476973,menthol 5.8 MG Oral Lozenge,PSN
003a3c0d-7a48-e44d-e063-6394a90a3f4a,2,253017,magnesium hydroxide 1200 MG in 15 mL Oral Suspension,PSN
003a6c1e-b03a-41c9-8d0a-a2ee762ac7fe,2,2467743,cetylpyridinium chloride 0.05 % / sodium fluoride 0.05 % (fluoride ion 0.02 % ) Mouthwash,PSN
003b1c72-559d-43d6-9ecc-4675818fa23a,4,997420,fexofenadine HCl 180 MG 24 HR Oral Tablet,PSN
003b863c-06b0-715d-ccc2-b7da4deac621,6,359818,nicotine 4 MG (as nicotine polacrilex 22.2 MG) Oral Lozenge,SY
003c0592-7c79-4ba9-a997-98a473a94db2,8,1311799,chloroxylenol 1.5 % Topical Solution,PSN
003c0592-7c79-4ba9-a997-98a473a94db2,8,1311802,HOOFLEX 1.5 % Topical Solution,PSN
003c1119-3216-46eb-bfaa-371115938b4e,4,1037039,ethanol 0.68 ML/ML Topical Gel,SCD
003c585f-9fda-c86e-e063-6394a90ae377,2,209884,zinc pyrithione 1 % Medicated Conditioner,SY
003c585f-9fda-c86e-e063-6394a90ae377,2,1043244,Head & Shoulders 1 % Medicated Shampoo,SY
003dd1ec-16f8-4f96-b6a8-c4689d35892a,27,197361,amLODIPine besylate 5 MG Oral Tablet,PSN
003dd1ec-16f8-4f96-b6a8-c4689d35892a,27,308135,amLODIPine besylate 10 MG Oral Tablet,PSN
003dd1ec-16f8-4f96-b6a8-c4689d35892a,27,308136,amLODIPine besylate 2.5 MG Oral Tablet,PSN
003dd45b-1e86-4261-8bf8-f572414b59a6,1,1650143,doxycycline hyclate 100 MG Oral Tablet,PSN
003fe32c-a55d-4191-99fa-1013522b1b2e,4,198075,perphenazine 16 MG Oral Tablet,PSN
003fe32c-a55d-4191-99fa-1013522b1b2e,4,198076,perphenazine 2 MG Oral Tablet,PSN
003fe32c-a55d-4191-99fa-1013522b1b2e,4,198077,perphenazine 4 MG Oral Tablet,PSN
003fe32c-a55d-4191-99fa-1013522b1b2e,4,198078,perphenazine 8 MG Oral Tablet,PSN
0041b483-34db-49a6-8665-f87e286cd0b8,11,198012,naproxen 375 MG Oral Tablet,PSN
0042337b-c22a-157a-e063-6394a90a202e,2,477589,PEG 400 0.4 % / propylene glycol 0.3 % Ophthalmic Solution,SY
0042e9a0-9693-d7e0-e063-6294a90ae6c6,2,1046700,glycerin 0.25 % / naphazoline HCl 0.012 % Ophthalmic Solution,PSN
00431d9b-fe0b-4aab-9d18-ac6ee6b9d6fe,4,993943,APAP 325 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule,SY
0044c53c-11dd-41a9-a5d9-622dd8b1c144,3,1113705,APAP 21.7 MG/ML / dextromethorphan hydrobromide 0.667 MG/ML / phenylephrine hydrochloride 0.333 MG/ML Oral Solution,SY
0044f1d7-613c-4611-8481-13032c8cb390,1,312835,rivastigmine 3 MG (as rivastigmine tartrate) Oral Capsule,SY
0044f1d7-613c-4611-8481-13032c8cb390,1,312836,rivastigmine 6 MG (as rivastigmine tartrate) Oral Capsule,SY
0044f1d7-613c-4611-8481-13032c8cb390,1,314214,rivastigmine 1.5 MG (as rivastigmine tartrate) Oral Capsule,SY
0044f1d7-613c-4611-8481-13032c8cb390,1,314215,rivastigmine 4.5 MG (as rivastigmine tartrate) Oral Capsule,SY
004588ba-e109-4a53-9c9d-a42dea9bb848,2,1665459,2 ML ketorolac tromethamine 30 MG/ML Injection,SCD
0045ec13-789a-40a1-ac1f-8c29049cfd13,2,857107,APAP 500 MG / hydrocodone bitartrate 10 MG Oral Tablet,SY
00478eeb-f1c8-4355-a7c3-81c340b557d8,1,197381,atenolol 50 MG Oral Tablet,PSN
0049462b-ff31-440f-9244-b61153625bca,2,876980,dimethicone 1.2 % Topical Lotion,PSN
004aa18f-3a97-f454-e063-6394a90afcff,2,1011852,lidocaine HCl 2 % Topical Gel,PSN
004bada0-dbf7-4a94-8792-6833d7eeda2b,10,197622,dipyridamole 50 MG Oral Tablet,PSN
004bada0-dbf7-4a94-8792-6833d7eeda2b,10,309952,dipyridamole 25 MG Oral Tablet,PSN
004bada0-dbf7-4a94-8792-6833d7eeda2b,10,309955,dipyridamole 75 MG Oral Tablet,PSN
004bb832-29d5-add0-e063-6394a90a90f4,3,311915,naproxen (as naproxen sodium) 500 MG Delayed Release Oral Tablet,SY
004bb832-29d5-add0-e063-6394a90a90f4,3,603103,naproxen 375 MG (as naproxen sodium 413 MG) Delayed Release Oral Tablet,SY
004bd09e-db2d-dca1-e063-6394a90a3f63,2,854873,zolpidem tartrate 10 MG Oral Tablet,PSN
004d12e1-6e3d-84c8-e063-6394a90aa653,4,996520,dextromethorphan HBr 20 MG / guaiFENesin 200 MG in 10 mL Oral Solution,PSN
004d1dc2-47c1-84d1-e063-6394a90a2471,2,204691,castor oil 100 % Oral Solution,PSN
004da013-8bd9-497a-b38e-14ff86859be7,5,197877,lidocaine 2.5 % / prilocaine 2.5 % Topical Cream,PSN
004dd408-e3ff-4ba6-b859-beebe364f0e1,3,311373,loratadine 10 MG 24HR Disintegrating Oral Tablet,PSN
004de5a4-80f8-4040-a6ea-be5e99352a36,22,833709,24 HR tramadol hydrochloride 100 MG Extended Release Oral Tablet,SCD
004de5a4-80f8-4040-a6ea-be5e99352a36,22,833711,24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet,SCD
004de5a4-80f8-4040-a6ea-be5e99352a36,22,833713,24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet,SCD
004e104b-d6ff-48d5-8685-cd1bff45399a,2,2685263,brompheniramine maleate 0.2 MG/ML Oral Solution,SCD
004f93d7-a1cd-4b67-9207-31cdcb5c5976,2,2103169,lorlatinib 25 MG Oral Tablet,PSN
004f93d7-a1cd-4b67-9207-31cdcb5c5976,2,2103175,LORBRENA 25 MG Oral Tablet,PSN
004fe393-962d-427c-93f4-31a48806ecf3,2,309110,cefalexin 25 MG/ML Oral Suspension,SY
004fe393-962d-427c-93f4-31a48806ecf3,2,309113,cefalexin 50 MG/ML Oral Suspension,SY
005048dd-844f-468c-bf56-1a09727e3477,103,197320,allopurinol 300 MG Oral Tablet,PSN
0050701f-4393-3f01-e063-6394a90a4e0e,2,2642220,glycerin 14.4 % / lidocaine 5 % / phenylephrine HCl 0.25 % / white petrolatum 15 % Rectal Cream,PSN
0050b639-5fb6-4503-ae73-e319cf037027,5,252294,dimethicone 180 MG Oral Capsule,SY
0050d05a-b8e9-c544-e063-6294a90a0243,2,1010739,lidocaine HCl 2 % Mucous Membrane Topical Solution,PSN
0050de33-914b-f76d-e063-6394a90a7fab,2,204602,bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 5 UNT/MG Topical Ointment,SCD
0052992a-819c-4c55-bd88-201a09a3573a,1,309367,clotrimazole 1 % Topical Cream,PSN
005299ac-b6de-511f-e063-6294a90a29e0,2,855633,diclofenac sodium 0.01 MG/MG Topical Gel,SCD
00529b23-850a-42b9-a152-125a95b5242c,9,2680287,10 ML tocilizumab-bavi 20 MG/ML Injection,SCD
00529b23-850a-42b9-a152-125a95b5242c,9,2680294,10 ML Tofidence 20 MG/ML Injection,SY
00529b23-850a-42b9-a152-125a95b5242c,9,2680296,20 ML tocilizumab-bavi 20 MG/ML Injection,SCD
00529b23-850a-42b9-a152-125a95b5242c,9,2680297,20 ML Tofidence 20 MG/ML Injection,SY
00529b23-850a-42b9-a152-125a95b5242c,9,2680298,4 ML tocilizumab-bavi 20 MG/ML Injection,SCD
00529b23-850a-42b9-a152-125a95b5242c,9,2680299,4 ML Tofidence 20 MG/ML Injection,SY
005392f1-de6b-4fb7-8156-36f9c8c30500,1,581660,ethanol 0.62 ML/ML Topical Gel,SCD
0055edbf-f1f6-4b50-8e41-202c5a2a7883,1,855906,diclofenac sodium 50 MG Delayed Release Oral Tablet,PSN
0055edbf-f1f6-4b50-8e41-202c5a2a7883,1,855926,diclofenac sodium 75 MG Delayed Release Oral Tablet,PSN
0056b952-9870-485a-9f35-f985472875a9,3,282812,menthol 6 % / methyl salicylate 20 % Topical Lotion,PSN
005854b9-04b7-4ced-98d1-9b1971c35e85,1,1041849,ethanol 0.7 ML/ML Topical Spray,SCD
